SERVICIO,BN-RETIR,BN-SALDI,BN-CUNIV,BN-ARIST,BN-PADIL,BN-FLORI,BN-MUNRO,BN-CARAP,BN-VADEL,BN-BOULO,BN-MONTE,BN-DTORC,BN-SOURD,BN-VMAYO,BN-POLVO,BN-PNOGU,BN-GBOUR,BN-TALTA,BN-TORTU,BN-MALBE,BN-DVISO,BN-CGRIE,BN-VROSA
3021,07:00:00,07:06:00,07:12:00,07:17:00,07:21:00,07:24:00,07:27:00,07:30:00,07:33:00,07:37:00,07:44:00,07:48:00,07:52:00,07:54:00,07:57:00,08:01:00,08:05:00,,,,,,
3023,07:15:00,07:21:00,07:27:00,07:32:00,07:36:00,07:39:00,07:42:00,07:45:00,07:48:00,07:52:00,07:59:00,08:03:00,08:07:00,08:09:00,08:12:00,08:16:00,08:20:00,08:24:00,08:28:00,08:31:00,08:35:00,08:39:00,08:45:00
3025,07:35:00,07:41:00,07:47:00,07:52:00,07:56:00,07:59:00,08:02:00,08:05:00,08:08:00,08:12:00,08:19:00,08:23:00,08:27:00,08:29:00,08:32:00,08:36:00,08:40:00,,,,,,
3027,07:55:00,08:01:00,08:07:00,08:12:00,08:16:00,08:19:00,08:22:00,08:25:00,08:28:00,08:32:00,08:39:00,08:43:00,08:47:00,08:49:00,08:52:00,08:56:00,09:00:00,09:04:00,09:08:00,09:11:00,09:15:00,09:19:00,09:25:00
3029,08:16:00,08:22:00,08:28:00,08:33:00,08:37:00,08:40:00,08:43:00,08:46:00,08:49:00,08:53:00,09:00:00,09:04:00,09:08:00,09:10:00,09:13:00,09:17:00,09:21:00,,,,,,
3031,08:38:00,08:44:00,08:50:00,08:55:00,08:59:00,09:02:00,09:05:00,09:08:00,09:11:00,09:15:00,09:22:00,09:26:00,09:30:00,09:32:00,09:35:00,09:39:00,09:43:00,09:47:00,09:51:00,09:54:00,09:58:00,10:02:00,10:08:00
3033,09:00:00,09:06:00,09:12:00,09:17:00,09:21:00,09:24:00,09:27:00,09:30:00,09:33:00,09:37:00,09:44:00,09:48:00,09:52:00,09:54:00,09:57:00,10:01:00,10:05:00,,,,,,
3035,09:20:00,09:26:00,09:32:00,09:37:00,09:41:00,09:44:00,09:47:00,09:50:00,09:53:00,09:57:00,10:04:00,10:08:00,10:12:00,10:14:00,10:17:00,10:21:00,10:25:00,10:29:00,10:33:00,10:36:00,10:40:00,10:44:00,10:50:00
3037,09:40:00,09:46:00,09:52:00,09:57:00,10:01:00,10:04:00,10:07:00,10:10:00,10:13:00,10:17:00,10:24:00,10:28:00,10:32:00,10:34:00,10:37:00,10:41:00,10:45:00,,,,,,
3039,10:00:00,10:06:00,10:12:00,10:17:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:37:00,10:44:00,10:48:00,10:52:00,10:54:00,10:57:00,11:01:00,11:05:00,11:09:00,11:13:00,11:16:00,11:20:00,11:24:00,11:30:00
3041,10:22:00,10:28:00,10:34:00,10:39:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:59:00,11:06:00,11:10:00,11:14:00,11:16:00,11:19:00,11:23:00,11:27:00,,,,,,
3043,10:44:00,10:50:00,10:56:00,11:01:00,11:05:00,11:08:00,11:11:00,11:14:00,11:17:00,11:21:00,11:28:00,11:32:00,11:36:00,11:38:00,11:41:00,11:45:00,11:49:00,11:53:00,11:57:00,12:00:00,12:04:00,12:08:00,12:14:00
3045,11:06:00,11:12:00,11:18:00,11:23:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:43:00,11:50:00,11:54:00,11:58:00,12:00:00,12:03:00,12:07:00,12:11:00,,,,,,
3047,11:28:00,11:34:00,11:40:00,11:45:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:05:00,12:12:00,12:16:00,12:20:00,12:22:00,12:25:00,12:29:00,12:33:00,12:37:00,12:41:00,12:44:00,12:48:00,12:52:00,12:58:00
3049,11:50:00,11:56:00,12:02:00,12:07:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:27:00,12:34:00,12:38:00,12:42:00,12:44:00,12:47:00,12:51:00,12:55:00,,,,,,
3051,12:12:00,12:18:00,12:24:00,12:29:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:49:00,12:56:00,13:00:00,13:04:00,13:06:00,13:09:00,13:13:00,13:17:00,13:21:00,13:25:00,13:28:00,13:32:00,13:36:00,13:42:00
3053,12:34:00,12:40:00,12:46:00,12:51:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00,13:11:00,13:18:00,13:22:00,13:26:00,13:28:00,13:31:00,13:35:00,13:39:00,,,,,,
3055,12:56:00,13:02:00,13:08:00,13:13:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:33:00,13:40:00,13:44:00,13:48:00,13:50:00,13:53:00,13:57:00,14:01:00,14:05:00,14:09:00,14:12:00,14:16:00,14:20:00,14:26:00
3057,13:18:00,13:24:00,13:30:00,13:35:00,13:39:00,13:42:00,13:45:00,13:48:00,13:51:00,13:55:00,14:02:00,14:06:00,14:10:00,14:12:00,14:15:00,14:19:00,14:23:00,,,,,,
3059,13:40:00,13:46:00,13:52:00,13:57:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:17:00,14:24:00,14:28:00,14:32:00,14:34:00,14:37:00,14:41:00,14:45:00,14:49:00,14:53:00,14:56:00,15:00:00,15:04:00,15:10:00
3061,14:00:00,14:06:00,14:12:00,14:17:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:37:00,14:44:00,14:48:00,14:52:00,14:54:00,14:57:00,15:01:00,15:05:00,,,,,,
3063,14:16:00,14:22:00,14:28:00,14:33:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:53:00,15:00:00,15:04:00,15:08:00,15:10:00,15:13:00,15:17:00,15:21:00,15:25:00,15:29:00,15:32:00,15:36:00,15:40:00,15:46:00
3065,14:32:00,14:38:00,14:44:00,14:49:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:09:00,15:16:00,15:20:00,15:24:00,15:26:00,15:29:00,15:33:00,15:37:00,,,,,,
3067,14:48:00,14:54:00,15:00:00,15:05:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:25:00,15:32:00,15:36:00,15:40:00,15:42:00,15:45:00,15:49:00,15:53:00,15:57:00,16:01:00,16:04:00,16:08:00,16:12:00,16:18:00
3069,15:04:00,15:10:00,15:16:00,15:21:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:41:00,15:48:00,15:52:00,15:56:00,15:58:00,16:01:00,16:05:00,16:09:00,16:13:00,16:17:00,16:20:00,16:24:00,16:28:00,16:34:00
3071,15:20:00,15:26:00,15:32:00,15:37:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:57:00,16:04:00,16:08:00,16:12:00,16:14:00,16:17:00,16:21:00,16:25:00,,,,,,
3073,15:36:00,15:42:00,15:48:00,15:53:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:13:00,16:20:00,16:24:00,16:28:00,16:30:00,16:33:00,16:37:00,16:41:00,16:45:00,16:49:00,16:52:00,16:56:00,17:00:00,17:06:00
3075,15:52:00,15:58:00,16:04:00,16:09:00,16:13:00,16:16:00,16:19:00,16:22:00,16:25:00,16:29:00,16:36:00,16:40:00,16:44:00,16:46:00,16:49:00,16:53:00,16:57:00,,,,,,
3077,16:08:00,16:14:00,16:20:00,16:25:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:45:00,16:52:00,16:56:00,17:00:00,17:02:00,17:05:00,17:09:00,17:13:00,17:17:00,17:21:00,17:24:00,17:28:00,17:32:00,17:38:00
3079,16:24:00,16:30:00,16:36:00,16:41:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:01:00,17:08:00,17:12:00,17:16:00,17:18:00,17:21:00,17:25:00,17:29:00,,,,,,
3081,16:40:00,16:46:00,16:52:00,16:57:00,17:01:00,17:04:00,17:07:00,17:10:00,17:13:00,17:17:00,17:24:00,17:28:00,17:32:00,17:34:00,17:37:00,17:41:00,17:45:00,17:49:00,17:53:00,17:56:00,18:00:00,18:04:00,18:10:00
3083,16:56:00,17:02:00,17:08:00,17:13:00,17:17:00,17:20:00,17:23:00,17:26:00,17:29:00,17:33:00,17:40:00,17:44:00,17:48:00,17:50:00,17:53:00,17:57:00,18:01:00,18:05:00,18:09:00,18:12:00,18:16:00,18:20:00,18:26:00
3085,17:18:00,17:24:00,17:30:00,17:35:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:55:00,18:02:00,18:06:00,18:10:00,18:12:00,18:15:00,18:19:00,18:23:00,,,,,,
3087,17:40:00,17:46:00,17:52:00,17:57:00,18:01:00,18:04:00,18:07:00,18:10:00,18:13:00,18:17:00,18:24:00,18:28:00,18:32:00,18:34:00,18:37:00,18:41:00,18:45:00,18:49:00,18:53:00,18:56:00,19:00:00,19:04:00,19:10:00
3089,18:02:00,18:08:00,18:14:00,18:19:00,18:23:00,18:26:00,18:29:00,18:32:00,18:35:00,18:39:00,18:46:00,18:50:00,18:54:00,18:56:00,18:59:00,19:03:00,19:07:00,,,,,,
3091,18:24:00,18:30:00,18:36:00,18:41:00,18:45:00,18:48:00,18:51:00,18:54:00,18:57:00,19:01:00,19:08:00,19:12:00,19:16:00,19:18:00,19:21:00,19:25:00,19:29:00,19:33:00,19:37:00,19:40:00,19:44:00,19:48:00,19:54:00
3093,18:46:00,18:52:00,18:58:00,19:03:00,19:07:00,19:10:00,19:13:00,19:16:00,19:19:00,19:23:00,19:30:00,19:34:00,19:38:00,19:40:00,19:43:00,19:47:00,19:51:00,,,,,,
3095,19:08:00,19:14:00,19:20:00,19:25:00,19:29:00,19:32:00,19:35:00,19:38:00,19:41:00,19:45:00,19:52:00,19:56:00,20:00:00,20:02:00,20:05:00,20:09:00,20:13:00,20:17:00,20:21:00,20:24:00,20:28:00,20:32:00,20:38:00
3097,19:30:00,19:36:00,19:42:00,19:47:00,19:51:00,19:54:00,19:57:00,20:00:00,20:03:00,20:07:00,20:14:00,20:18:00,20:22:00,20:24:00,20:27:00,20:31:00,20:35:00,,,,,,
3099,19:52:00,19:58:00,20:04:00,20:09:00,20:13:00,20:16:00,20:19:00,20:22:00,20:25:00,20:29:00,20:36:00,20:40:00,20:44:00,20:46:00,20:49:00,20:53:00,20:57:00,21:01:00,21:05:00,21:08:00,21:12:00,21:16:00,21:22:00
3101,20:14:00,20:20:00,20:26:00,20:31:00,20:35:00,20:38:00,20:41:00,20:44:00,20:47:00,20:51:00,20:58:00,21:02:00,21:06:00,21:08:00,21:11:00,21:15:00,21:19:00,,,,,,
3103,20:36:00,20:42:00,20:48:00,20:53:00,20:57:00,21:00:00,21:03:00,21:06:00,21:09:00,21:13:00,21:20:00,21:24:00,21:28:00,21:30:00,21:33:00,21:37:00,21:41:00,21:45:00,21:49:00,21:52:00,21:56:00,22:00:00,22:06:00
3105,20:58:00,21:04:00,21:10:00,21:15:00,21:19:00,21:22:00,21:25:00,21:28:00,21:31:00,21:35:00,21:42:00,21:46:00,21:50:00,21:52:00,21:55:00,21:59:00,22:03:00,,,,,,
3107,21:35:00,21:41:00,21:47:00,21:52:00,21:56:00,21:59:00,22:02:00,22:05:00,22:08:00,22:12:00,22:19:00,22:23:00,22:27:00,22:29:00,22:32:00,22:36:00,22:40:00,22:44:00,22:48:00,22:51:00,22:55:00,22:59:00,23:05:00
3109,21:55:00,22:01:00,22:07:00,22:12:00,22:16:00,22:19:00,22:22:00,22:25:00,22:28:00,22:32:00,,,,,,,,,,,,,
3111,22:15:00,22:21:00,22:27:00,22:32:00,22:36:00,22:39:00,22:42:00,22:45:00,22:48:00,22:52:00,22:59:00,23:03:00,23:07:00,23:09:00,23:12:00,23:16:00,23:20:00,23:24:00,23:28:00,23:31:00,23:35:00,23:39:00,23:45:00
3113,22:55:00,23:01:00,23:07:00,23:12:00,23:16:00,23:19:00,23:22:00,23:25:00,23:28:00,23:32:00,23:39:00,23:43:00,23:47:00,23:49:00,23:52:00,23:56:00,00:00:00,00:04:00,00:08:00,00:11:00,00:15:00,00:19:00,00:25:00
3115,23:45:00,23:51:00,23:57:00,00:02:00,00:06:00,00:09:00,00:12:00,00:15:00,00:18:00,00:22:00,00:29:00,00:33:00,00:37:00,00:39:00,00:42:00,00:46:00,00:50:00,00:54:00,00:58:00,01:01:00,01:05:00,01:09:00,01:15:00
